seller,buyer,inflation_seller,inflation_buyer,inflation_diff,exchange_rate
India,USA,5.551547690780196,4.615506910577024,-0.9360407802031716,0.010544663503970594
India,China,5.551547690780196,0.7080534965020988,-4.843494194278097,0.07296696251477572
India,Russia,5.551547690780196,8.589796775244048,3.0382490844638523,0.8593837487755009
India,UAE,5.551547690780196,2.218371985959211,-3.333175704820985,0.038725276718332
USA,India,4.615506910577024,5.551547690780196,0.9360407802031716,94.8347
USA,China,4.615506910577024,0.7080534965020988,-3.9074534140749257,6.9198
USA,Russia,4.615506910577024,8.589796775244048,3.974289864667024,81.4994
USA,UAE,4.615506910577024,2.218371985959211,-2.3971349246178133,3.6725
China,India,0.7080534965020988,5.551547690780196,4.843494194278097,13.704832509610103
China,USA,0.7080534965020988,4.615506910577024,3.9074534140749257,0.14451284719211538
China,Russia,0.7080534965020988,8.589796775244048,7.88174327874195,11.777710338449086
China,UAE,0.7080534965020988,2.218371985959211,1.5103184894571122,0.5307234313130437
Russia,India,8.589796775244048,5.551547690780196,-3.0382490844638523,1.1636245174811104
Russia,USA,8.589796775244048,4.615506910577024,-3.974289864667024,0.012270028981808456
Russia,China,8.589796775244048,0.7080534965020988,-7.88174327874195,0.08490614654831816
Russia,UAE,8.589796775244048,2.218371985959211,-6.371424789284838,0.04506168143569155
UAE,India,2.218371985959211,5.551547690780196,3.333175704820985,25.822927161334242
UAE,USA,2.218371985959211,4.615506910577024,2.3971349246178133,0.27229407760381213
UAE,China,2.218371985959211,0.7080534965020988,-1.5103184894571122,1.8842205582028593
UAE,Russia,2.218371985959211,8.589796775244048,6.371424789284838,22.191803948264123
